IP,Port,Degree
127.0.0.1,6898,0
127.0.0.1,6865,0
127.0.0.1,6723,0
127.0.0.1,6614,0
127.0.0.1,6373,0
127.0.0.1,6710,0
127.0.0.1,6535,0
127.0.0.1,6566,0
127.0.0.1,6964,0
127.0.0.1,6660,0
127.0.0.1,6484,0
127.0.0.1,6880,0
127.0.0.1,6967,0
127.0.0.1,6665,0
127.0.0.1,6805,0
127.0.0.1,6909,0
127.0.0.1,6966,0
127.0.0.1,6578,0
127.0.0.1,6912,0
127.0.0.1,6844,0
127.0.0.1,6393,0
127.0.0.1,6422,0
127.0.0.1,6573,0
127.0.0.1,6598,0
127.0.0.1,6496,0
127.0.0.1,6599,0
127.0.0.1,6301,0
127.0.0.1,6398,0
127.0.0.1,6583,0
127.0.0.1,6903,0
127.0.0.1,6641,0
127.0.0.1,6920,0
127.0.0.1,6697,0
127.0.0.1,6753,0
127.0.0.1,6703,0
127.0.0.1,6833,0
127.0.0.1,6333,0
127.0.0.1,6655,0
127.0.0.1,6763,0
127.0.0.1,6807,0
127.0.0.1,6610,0
127.0.0.1,6785,0
127.0.0.1,6563,0
127.0.0.1,6667,0
127.0.0.1,6461,0
127.0.0.1,6321,0
127.0.0.1,6412,0
127.0.0.1,6544,0
127.0.0.1,6621,0
127.0.0.1,6554,0
127.0.0.1,6316,0
127.0.0.1,6515,0
127.0.0.1,6498,0
127.0.0.1,6688,0
127.0.0.1,6481,0
127.0.0.1,6325,0
127.0.0.1,6288,0
127.0.0.1,6488,0
127.0.0.1,6401,0
127.0.0.1,6740,0
127.0.0.1,6873,0
127.0.0.1,6645,0
127.0.0.1,6951,0
127.0.0.1,6896,0
127.0.0.1,6746,0
127.0.0.1,6982,0
127.0.0.1,6994,0
127.0.0.1,6630,0
127.0.0.1,6970,0
127.0.0.1,6651,0
127.0.0.1,6972,0
127.0.0.1,6803,0
127.0.0.1,6870,0
127.0.0.1,6564,0
127.0.0.1,6998,0
127.0.0.1,6925,0
127.0.0.1,6264,0
127.0.0.1,6303,0
127.0.0.1,6513,0
127.0.0.1,6506,0
127.0.0.1,6337,0
127.0.0.1,6458,0
127.0.0.1,6561,0
127.0.0.1,6329,0
127.0.0.1,6830,0
127.0.0.1,6603,0
